description,industry,level,size,line_code,value,status,Unit,Footnotes
Source of info - universities or polytechnics: no,Machinery & equipment wholesaling,2,total,B1710.02,582,,Number of businesses,1 and 2 and 3 and 6
Source of info - universities or polytechnics: no,Other wholesale trade,2,total,B1710.02,1293,,Number of businesses,1 and 2 and 3 and 6
Source of info - universities or polytechnics: no,Retail trade,1,total,B1710.02,2565,,Number of businesses,1 and 2 and 3 and 6
Source of info - universities or polytechnics: no,Accommodation & food services,1,total,B1710.02,2571,,Number of businesses,1 and 2 and 3 and 6
Source of info - universities or polytechnics: no,"Transport, postal, & warehousing",1,total,B1710.02,759,,Number of businesses,1 and 2 and 3 and 6
Source of info - universities or polytechnics: no,Information media & telecommunications,1,total,B1710.02,246,,Number of businesses,1 and 2 and 3 and 6
Source of info - universities or polytechnics: no,Publishing,2,total,B1710.02,102,,Number of businesses,1 and 2 and 3 and 6
Source of info - universities or polytechnics: no,Motion picture,2,total,B1710.02,84,,Number of businesses,1 and 2 and 3 and 6
Source of info - universities or polytechnics: no,Telecommunications,2,total,B1710.02,60,,Number of businesses,1 and 2 and 3 and 6
Source of info - universities or polytechnics: no,Financial & insurance services,1,total,B1710.02,405,,Number of businesses,1 and 2 and 3 and 6
Source of info - universities or polytechnics: no,Finance,2,total,B1710.02,117,,Number of businesses,1 and 2 and 3 and 6
Source of info - universities or polytechnics: no,Insurance,2,total,B1710.02,18,,Number of businesses,1 and 2 and 3 and 6
Source of info - universities or polytechnics: no,Auxiliary,2,total,B1710.02,273,,Number of businesses,1 and 2 and 3 and 6
Source of info - universities or polytechnics: no,"Rental, hiring, & real estate services",1,total,B1710.02,615,,Number of businesses,1 and 2 and 3 and 6
Source of info - universities or polytechnics: no,"Professional, scientific, & technical services",1,total,B1710.02,3072,,Number of businesses,1 and 2 and 3 and 6
Source of info - universities or polytechnics: no,Computer systems design,2,total,B1710.02,579,,Number of businesses,1 and 2 and 3 and 6
Source of info - universities or polytechnics: no,Other professional scientific,2,total,B1710.02,2496,,Number of businesses,1 and 2 and 3 and 6
Source of info - universities or polytechnics: no,Administrative & support services,1,total,B1710.02,1074,,Number of businesses,1 and 2 and 3 and 6
Source of info - universities or polytechnics: no,Education & training,1,total,B1710.02,549,,Number of businesses,1 and 2 and 3 and 6
Source of info - universities or polytechnics: no,Health care & social assistance,1,total,B1710.02,1374,,Number of businesses,1 and 2 and 3 and 6
Source of info - universities or polytechnics: no,Arts & recreation services,1,total,B1710.02,294,,Number of businesses,1 and 2 and 3 and 6
Source of info - universities or polytechnics: no,Other services,1,total,B1710.02,624,,Number of businesses,1 and 2 and 3 and 6
Source of info - universities or polytechnics: no,total,0,total,B1710.02,24399,,Number of businesses,1 and 2 and 3 and 6
Source of info - universities or polytechnics: don't know,total,0,6–19 employees,B1710.03,1356,,Number of businesses,1 and 2 and 3 and 4 and 6
Source of info - universities or polytechnics: don't know,total,0,20–49 employees,B1710.03,360,,Number of businesses,1 and 2 and 3 and 4 and 6
Source of info - universities or polytechnics: don't know,total,0,50–99 employees,B1710.03,156,,Number of businesses,1 and 2 and 3 and 4 and 6
Source of info - universities or polytechnics: don't know,total,0,100+ employees,B1710.03,222,,Number of businesses,1 and 2 and 3 and 4 and 6
Source of info - universities or polytechnics: don't know,"Agriculture, forestry, & fishing",1,total,B1710.03,117,,Number of businesses,1 and 2 and 3 and 6
Source of info - universities or polytechnics: don't know,Agriculture,2,total,B1710.03,81,,Number of businesses,1 and 2 and 3 and 6
Source of info - universities or polytechnics: don't know,Commercial fishing,2,total,B1710.03,3,,Number of businesses,1 and 2 and 3 and 6
Source of info - universities or polytechnics: don't know,Forestry & logging,2,total,B1710.03,9,,Number of businesses,1 and 2 and 3 and 6
Source of info - universities or polytechnics: don't know,"Agriculture, forestry, & fishing support services",2,total,B1710.03,27,,Number of businesses,1 and 2 and 3 and 6
Source of info - universities or polytechnics: don't know,Mining,1,total,B1710.03,6,,Number of businesses,1 and 2 and 3 and 5 and 6
Source of info - universities or polytechnics: don't know,Manufacturing,1,total,B1710.03,210,,Number of businesses,1 and 2 and 3 and 6
Source of info - universities or polytechnics: don't know,"Food, beverage, & tobacco",2,total,B1710.03,60,,Number of businesses,1 and 2 and 3 and 6
Source of info - universities or polytechnics: don't know,"Textile, clothing, footwear, & leather",2,total,B1710.03,15,,Number of businesses,1 and 2 and 3 and 6
Source of info - universities or polytechnics: don't know,Wood & paper product,2,total,B1710.03,15,,Number of businesses,1 and 2 and 3 and 6
Source of info - universities or polytechnics: don't know,"Printing, publishing, & recorded media",2,total,B1710.03,0,,Number of businesses,1 and 2 and 3 and 6
Source of info - universities or polytechnics: don't know,"Petroleum, coal, chemical, & associated product",2,total,B1710.03,33,,Number of businesses,1 and 2 and 3 and 6
Source of info - universities or polytechnics: don't know,Non-metallic mineral product,2,total,B1710.03,12,,Number of businesses,1 and 2 and 3 and 6
Source of info - universities or polytechnics: don't know,Metal product,2,total,B1710.03,30,,Number of businesses,1 and 2 and 3 and 6
Source of info - universities or polytechnics: don't know,Transport and industrial machinery & equipment,2,total,B1710.03,21,,Number of businesses,1 and 2 and 3 and 6
Source of info - universities or polytechnics: don't know,Other machinery & equipment,2,total,B1710.03,9,,Number of businesses,1 and 2 and 3 and 6
Source of info - universities or polytechnics: don't know,Other manufacturing,2,total,B1710.03,15,,Number of businesses,1 and 2 and 3 and 6
Source of info - universities or polytechnics: don't know,"Electricity, gas, water, & waste services",1,total,B1710.03,12,,Number of businesses,1 and 2 and 3 and 5 and 6
Source of info - universities or polytechnics: don't know,Construction,1,total,B1710.03,393,,Number of businesses,1 and 2 and 3 and 6
Source of info - universities or polytechnics: don't know,Wholesale trade,1,total,B1710.03,165,,Number of businesses,1 and 2 and 3 and 6
Source of info - universities or polytechnics: don't know,Machinery & equipment wholesaling,2,total,B1710.03,45,,Number of businesses,1 and 2 and 3 and 6
Source of info - universities or polytechnics: don't know,Other wholesale trade,2,total,B1710.03,117,,Number of businesses,1 and 2 and 3 and 6
Source of info - universities or polytechnics: don't know,Retail trade,1,total,B1710.03,42,,Number of businesses,1 and 2 and 3 and 6
Source of info - universities or polytechnics: don't know,Accommodation & food services,1,total,B1710.03,501,,Number of businesses,1 and 2 and 3 and 6
Source of info - universities or polytechnics: don't know,"Transport, postal, & warehousing",1,total,B1710.03,45,,Number of businesses,1 and 2 and 3 and 6
Source of info - universities or polytechnics: don't know,Information media & telecommunications,1,total,B1710.03,45,,Number of businesses,1 and 2 and 3 and 6
Source of info - universities or polytechnics: don't know,Publishing,2,total,B1710.03,18,,Number of businesses,1 and 2 and 3 and 6
Source of info - universities or polytechnics: don't know,Motion picture,2,total,B1710.03,6,,Number of businesses,1 and 2 and 3 and 6
Source of info - universities or polytechnics: don't know,Telecommunications,2,total,B1710.03,15,,Number of businesses,1 and 2 and 3 and 6
Source of info - universities or polytechnics: don't know,Financial & insurance services,1,total,B1710.03,39,,Number of businesses,1 and 2 and 3 and 6
Source of info - universities or polytechnics: don't know,Finance,2,total,B1710.03,21,,Number of businesses,1 and 2 and 3 and 6
Source of info - universities or polytechnics: don't know,Insurance,2,total,B1710.03,6,,Number of businesses,1 and 2 and 3 and 6
Source of info - universities or polytechnics: don't know,Auxiliary,2,total,B1710.03,15,,Number of businesses,1 and 2 and 3 and 6
Source of info - universities or polytechnics: don't know,"Rental, hiring, & real estate services",1,total,B1710.03,30,,Number of businesses,1 and 2 and 3 and 6
Source of info - universities or polytechnics: don't know,"Professional, scientific, & technical services",1,total,B1710.03,123,,Number of businesses,1 and 2 and 3 and 6
Source of info - universities or polytechnics: don't know,Computer systems design,2,total,B1710.03,60,,Number of businesses,1 and 2 and 3 and 6
Source of info - universities or polytechnics: don't know,Other professional scientific,2,total,B1710.03,66,,Number of businesses,1 and 2 and 3 and 6
Source of info - universities or polytechnics: don't know,Administrative & support services,1,total,B1710.03,96,,Number of businesses,1 and 2 and 3 and 6
Source of info - universities or polytechnics: don't know,Education & training,1,total,B1710.03,57,,Number of businesses,1 and 2 and 3 and 6
Source of info - universities or polytechnics: don't know,Health care & social assistance,1,total,B1710.03,168,,Number of businesses,1 and 2 and 3 and 6
Source of info - universities or polytechnics: don't know,Arts & recreation services,1,total,B1710.03,6,,Number of businesses,1 and 2 and 3 and 6
Source of info - universities or polytechnics: don't know,Other services,1,total,B1710.03,36,,Number of businesses,1 and 2 and 3 and 6
Source of info - universities or polytechnics: don't know,total,0,total,B1710.03,2097,,Number of businesses,1 and 2 and 3 and 6
"Source of info - crown, or other research institutes: yes",total,0,6–19 employees,B1711.01,597,,Number of businesses,1 and 2 and 3 and 4 and 6
"Source of info - crown, or other research institutes: yes",total,0,20–49 employees,B1711.01,387,,Number of businesses,1 and 2 and 3 and 4 and 6
"Source of info - crown, or other research institutes: yes",total,0,50–99 employees,B1711.01,150,,Number of businesses,1 and 2 and 3 and 4 and 6
"Source of info - crown, or other research institutes: yes",total,0,100+ employees,B1711.01,171,,Number of businesses,1 and 2 and 3 and 4 and 6
"Source of info - crown, or other research institutes: yes","Agriculture, forestry, & fishing",1,total,B1711.01,171,,Number of businesses,1 and 2 and 3 and 6
"Source of info - crown, or other research institutes: yes",Agriculture,2,total,B1711.01,132,,Number of businesses,1 and 2 and 3 and 6
"Source of info - crown, or other research institutes: yes",Commercial fishing,2,total,B1711.01,3,,Number of businesses,1 and 2 and 3 and 6
"Source of info - crown, or other research institutes: yes",Forestry & logging,2,total,B1711.01,15,,Number of businesses,1 and 2 and 3 and 6
"Source of info - crown, or other research institutes: yes","Agriculture, forestry, & fishing support services",2,total,B1711.01,21,,Number of businesses,1 and 2 and 3 and 6
"Source of info - crown, or other research institutes: yes",Mining,1,total,B1711.01,6,,Number of businesses,1 and 2 and 3 and 5 and 6
"Source of info - crown, or other research institutes: yes",Manufacturing,1,total,B1711.01,321,,Number of businesses,1 and 2 and 3 and 6
"Source of info - crown, or other research institutes: yes","Food, beverage, & tobacco",2,total,B1711.01,141,,Number of businesses,1 and 2 and 3 and 6
"Source of info - crown, or other research institutes: yes","Textile, clothing, footwear, & leather",2,total,B1711.01,9,,Number of businesses,1 and 2 and 3 and 6
"Source of info - crown, or other research institutes: yes",Wood & paper product,2,total,B1711.01,21,,Number of businesses,1 and 2 and 3 and 6
"Source of info - crown, or other research institutes: yes","Printing, publishing, & recorded media",2,total,B1711.01,0,,Number of businesses,1 and 2 and 3 and 6
"Source of info - crown, or other research institutes: yes","Petroleum, coal, chemical, & associated product",2,total,B1711.01,48,,Number of businesses,1 and 2 and 3 and 6
"Source of info - crown, or other research institutes: yes",Non-metallic mineral product,2,total,B1711.01,3,,Number of businesses,1 and 2 and 3 and 6
"Source of info - crown, or other research institutes: yes",Metal product,2,total,B1711.01,12,,Number of businesses,1 and 2 and 3 and 6
"Source of info - crown, or other research institutes: yes",Transport and industrial machinery & equipment,2,total,B1711.01,48,,Number of businesses,1 and 2 and 3 and 6
"Source of info - crown, or other research institutes: yes",Other machinery & equipment,2,total,B1711.01,39,,Number of businesses,1 and 2 and 3 and 6
"Source of info - crown, or other research institutes: yes",Other manufacturing,2,total,B1711.01,3,,Number of businesses,1 and 2 and 3 and 6
"Source of info - crown, or other research institutes: yes","Electricity, gas, water, & waste services",1,total,B1711.01,9,,Number of businesses,1 and 2 and 3 and 5 and 6
"Source of info - crown, or other research institutes: yes",Construction,1,total,B1711.01,42,,Number of businesses,1 and 2 and 3 and 6
"Source of info - crown, or other research institutes: yes",Wholesale trade,1,total,B1711.01,93,,Number of businesses,1 and 2 and 3 and 6
"Source of info - crown, or other research institutes: yes",Machinery & equipment wholesaling,2,total,B1711.01,21,,Number of businesses,1 and 2 and 3 and 6
"Source of info - crown, or other research institutes: yes",Other wholesale trade,2,total,B1711.01,69,,Number of businesses,1 and 2 and 3 and 6
"Source of info - crown, or other research institutes: yes",Retail trade,1,total,B1711.01,21,,Number of businesses,1 and 2 and 3 and 6
"Source of info - crown, or other research institutes: yes",Accommodation & food services,1,total,B1711.01,15,,Number of businesses,1 and 2 and 3 and 6
"Source of info - crown, or other research institutes: yes","Transport, postal, & warehousing",1,total,B1711.01,27,,Number of businesses,1 and 2 and 3 and 6
"Source of info - crown, or other research institutes: yes",Information media & telecommunications,1,total,B1711.01,36,,Number of businesses,1 and 2 and 3 and 6
"Source of info - crown, or other research institutes: yes",Publishing,2,total,B1711.01,24,,Number of businesses,1 and 2 and 3 and 6
"Source of info - crown, or other research institutes: yes",Motion picture,2,total,B1711.01,3,,Number of businesses,1 and 2 and 3 and 6
"Source of info - crown, or other research institutes: yes",Telecommunications,2,total,B1711.01,6,,Number of businesses,1 and 2 and 3 and 6
"Source of info - crown, or other research institutes: yes",Financial & insurance services,1,total,B1711.01,24,,Number of businesses,1 and 2 and 3 and 6
"Source of info - crown, or other research institutes: yes",Finance,2,total,B1711.01,12,,Number of businesses,1 and 2 and 3 and 6
"Source of info - crown, or other research institutes: yes",Insurance,2,total,B1711.01,3,,Number of businesses,1 and 2 and 3 and 6
"Source of info - crown, or other research institutes: yes",Auxiliary,2,total,B1711.01,12,,Number of businesses,1 and 2 and 3 and 6
"Source of info - crown, or other research institutes: yes","Rental, hiring, & real estate services",1,total,B1711.01,6,,Number of businesses,1 and 2 and 3 and 6
"Source of info - crown, or other research institutes: yes","Professional, scientific, & technical services",1,total,B1711.01,303,,Number of businesses,1 and 2 and 3 and 6
"Source of info - crown, or other research institutes: yes",Computer systems design,2,total,B1711.01,117,,Number of businesses,1 and 2 and 3 and 6
"Source of info - crown, or other research institutes: yes",Other professional scientific,2,total,B1711.01,189,,Number of businesses,1 and 2 and 3 and 6
"Source of info - crown, or other research institutes: yes",Administrative & support services,1,total,B1711.01,48,,Number of businesses,1 and 2 and 3 and 6
"Source of info - crown, or other research institutes: yes",Education & training,1,total,B1711.01,39,,Number of businesses,1 and 2 and 3 and 6
"Source of info - crown, or other research institutes: yes",Health care & social assistance,1,total,B1711.01,60,,Number of businesses,1 and 2 and 3 and 6
"Source of info - crown, or other research institutes: yes",Arts & recreation services,1,total,B1711.01,48,,Number of businesses,1 and 2 and 3 and 6
"Source of info - crown, or other research institutes: yes",Other services,1,total,B1711.01,36,,Number of businesses,1 and 2 and 3 and 6
"Source of info - crown, or other research institutes: yes",total,0,total,B1711.01,1305,,Number of businesses,1 and 2 and 3 and 6
"Source of info - crown, or other research institutes: no",total,0,6–19 employees,B1711.02,17289,,Number of businesses,1 and 2 and 3 and 4 and 6
"Source of info - crown, or other research institutes: no",total,0,20–49 employees,B1711.02,4980,,Number of businesses,1 and 2 and 3 and 4 and 6
"Source of info - crown, or other research institutes: no",total,0,50–99 employees,B1711.02,1359,,Number of businesses,1 and 2 and 3 and 4 and 6
"Source of info - crown, or other research institutes: no",total,0,100+ employees,B1711.02,1077,,Number of businesses,1 and 2 and 3 and 4 and 6
"Source of info - crown, or other research institutes: no","Agriculture, forestry, & fishing",1,total,B1711.02,1371,,Number of businesses,1 and 2 and 3 and 6
"Source of info - crown, or other research institutes: no",Agriculture,2,total,B1711.02,879,,Number of businesses,1 and 2 and 3 and 6
"Source of info - crown, or other research institutes: no",Commercial fishing,2,total,B1711.02,18,,Number of businesses,1 and 2 and 3 and 6
"Source of info - crown, or other research institutes: no",Forestry & logging,2,total,B1711.02,90,,Number of businesses,1 and 2 and 3 and 6
"Source of info - crown, or other research institutes: no","Agriculture, forestry, & fishing support services",2,total,B1711.02,387,,Number of businesses,1 and 2 and 3 and 6
"Source of info - crown, or other research institutes: no",Mining,1,total,B1711.02,51,,Number of businesses,1 and 2 and 3 and 5 and 6
"Source of info - crown, or other research institutes: no",Manufacturing,1,total,B1711.02,2991,,Number of businesses,1 and 2 and 3 and 6
"Source of info - crown, or other research institutes: no","Food, beverage, & tobacco",2,total,B1711.02,600,,Number of businesses,1 and 2 and 3 and 6
"Source of info - crown, or other research institutes: no","Textile, clothing, footwear, & leather",2,total,B1711.02,138,,Number of businesses,1 and 2 and 3 and 6
"Source of info - crown, or other research institutes: no",Wood & paper product,2,total,B1711.02,318,,Number of businesses,1 and 2 and 3 and 6
"Source of info - crown, or other research institutes: no","Printing, publishing, & recorded media",2,total,B1711.02,117,,Number of businesses,1 and 2 and 3 and 6
"Source of info - crown, or other research institutes: no","Petroleum, coal, chemical, & associated product",2,total,B1711.02,246,,Number of businesses,1 and 2 and 3 and 6
"Source of info - crown, or other research institutes: no",Non-metallic mineral product,2,total,B1711.02,132,,Number of businesses,1 and 2 and 3 and 6
"Source of info - crown, or other research institutes: no",Metal product,2,total,B1711.02,534,,Number of businesses,1 and 2 and 3 and 6
"Source of info - crown, or other research institutes: no",Transport and industrial machinery & equipment,2,total,B1711.02,540,,Number of businesses,1 and 2 and 3 and 6
"Source of info - crown, or other research institutes: no",Other machinery & equipment,2,total,B1711.02,126,,Number of businesses,1 and 2 and 3 and 6
"Source of info - crown, or other research institutes: no",Other manufacturing,2,total,B1711.02,237,,Number of businesses,1 and 2 and 3 and 6
"Source of info - crown, or other research institutes: no","Electricity, gas, water, & waste services",1,total,B1711.02,111,,Number of businesses,1 and 2 and 3 and 5 and 6
"Source of info - crown, or other research institutes: no",Construction,1,total,B1711.02,3807,,Number of businesses,1 and 2 and 3 and 6
"Source of info - crown, or other research institutes: no",Wholesale trade,1,total,B1711.02,1866,,Number of businesses,1 and 2 and 3 and 6
"Source of info - crown, or other research institutes: no",Machinery & equipment wholesaling,2,total,B1711.02,573,,Number of businesses,1 and 2 and 3 and 6
"Source of info - crown, or other research institutes: no",Other wholesale trade,2,total,B1711.02,1293,,Number of businesses,1 and 2 and 3 and 6
"Source of info - crown, or other research institutes: no",Retail trade,1,total,B1711.02,2673,,Number of businesses,1 and 2 and 3 and 6
"Source of info - crown, or other research institutes: no",Accommodation & food services,1,total,B1711.02,2556,,Number of businesses,1 and 2 and 3 and 6
"Source of info - crown, or other research institutes: no","Transport, postal, & warehousing",1,total,B1711.02,741,,Number of businesses,1 and 2 and 3 and 6
"Source of info - crown, or other research institutes: no",Information media & telecommunications,1,total,B1711.02,267,,Number of businesses,1 and 2 and 3 and 6
"Source of info - crown, or other research institutes: no",Publishing,2,total,B1711.02,102,,Number of businesses,1 and 2 and 3 and 6
"Source of info - crown, or other research institutes: no",Motion picture,2,total,B1711.02,90,,Number of businesses,1 and 2 and 3 and 6
"Source of info - crown, or other research institutes: no",Telecommunications,2,total,B1711.02,72,,Number of businesses,1 and 2 and 3 and 6
"Source of info - crown, or other research institutes: no",Financial & insurance services,1,total,B1711.02,411,,Number of businesses,1 and 2 and 3 and 6
"Source of info - crown, or other research institutes: no",Finance,2,total,B1711.02,114,,Number of businesses,1 and 2 and 3 and 6
"Source of info - crown, or other research institutes: no",Insurance,2,total,B1711.02,21,,Number of businesses,1 and 2 and 3 and 6
"Source of info - crown, or other research institutes: no",Auxiliary,2,total,B1711.02,279,,Number of businesses,1 and 2 and 3 and 6
"Source of info - crown, or other research institutes: no","Rental, hiring, & real estate services",1,total,B1711.02,609,,Number of businesses,1 and 2 and 3 and 6
"Source of info - crown, or other research institutes: no","Professional, scientific, & technical services",1,total,B1711.02,3012,,Number of businesses,1 and 2 and 3 and 6
"Source of info - crown, or other research institutes: no",Computer systems design,2,total,B1711.02,543,,Number of businesses,1 and 2 and 3 and 6
"Source of info - crown, or other research institutes: no",Other professional scientific,2,total,B1711.02,2472,,Number of businesses,1 and 2 and 3 and 6
"Source of info - crown, or other research institutes: no",Administrative & support services,1,total,B1711.02,1098,,Number of businesses,1 and 2 and 3 and 6
"Source of info - crown, or other research institutes: no",Education & training,1,total,B1711.02,633,,Number of businesses,1 and 2 and 3 and 6
"Source of info - crown, or other research institutes: no",Health care & social assistance,1,total,B1711.02,1536,,Number of businesses,1 and 2 and 3 and 6
"Source of info - crown, or other research institutes: no",Arts & recreation services,1,total,B1711.02,306,,Number of businesses,1 and 2 and 3 and 6
"Source of info - crown, or other research institutes: no",Other services,1,total,B1711.02,657,,Number of businesses,1 and 2 and 3 and 6
"Source of info - crown, or other research institutes: no",total,0,total,B1711.02,24702,,Number of businesses,1 and 2 and 3 and 6
"Source of info - crown, or other research institutes: don't know",total,0,6–19 employees,B1711.03,1479,,Number of businesses,1 and 2 and 3 and 4 and 6
"Source of info - crown, or other research institutes: don't know",total,0,20–49 employees,B1711.03,477,,Number of businesses,1 and 2 and 3 and 4 and 6
"Source of info - crown, or other research institutes: don't know",total,0,50–99 employees,B1711.03,165,,Number of businesses,1 and 2 and 3 and 4 and 6
"Source of info - crown, or other research institutes: don't know",total,0,100+ employees,B1711.03,237,,Number of businesses,1 and 2 and 3 and 4 and 6
"Source of info - crown, or other research institutes: don't know","Agriculture, forestry, & fishing",1,total,B1711.03,186,,Number of businesses,1 and 2 and 3 and 6
"Source of info - crown, or other research institutes: don't know",Agriculture,2,total,B1711.03,132,,Number of businesses,1 and 2 and 3 and 6
"Source of info - crown, or other research institutes: don't know",Commercial fishing,2,total,B1711.03,3,,Number of businesses,1 and 2 and 3 and 6
"Source of info - crown, or other research institutes: don't know",Forestry & logging,2,total,B1711.03,9,,Number of businesses,1 and 2 and 3 and 6
"Source of info - crown, or other research institutes: don't know","Agriculture, forestry, & fishing support services",2,total,B1711.03,45,,Number of businesses,1 and 2 and 3 and 6
"Source of info - crown, or other research institutes: don't know",Mining,1,total,B1711.03,6,,Number of businesses,1 and 2 and 3 and 5 and 6
"Source of info - crown, or other research institutes: don't know",Manufacturing,1,total,B1711.03,192,,Number of businesses,1 and 2 and 3 and 6
"Source of info - crown, or other research institutes: don't know","Food, beverage, & tobacco",2,total,B1711.03,42,,Number of businesses,1 and 2 and 3 and 6
"Source of info - crown, or other research institutes: don't know","Textile, clothing, footwear, & leather",2,total,B1711.03,15,,Number of businesses,1 and 2 and 3 and 6
"Source of info - crown, or other research institutes: don't know",Wood & paper product,2,total,B1711.03,12,,Number of businesses,1 and 2 and 3 and 6
"Source of info - crown, or other research institutes: don't know","Printing, publishing, & recorded media",2,total,B1711.03,0,,Number of businesses,1 and 2 and 3 and 6
"Source of info - crown, or other research institutes: don't know","Petroleum, coal, chemical, & associated product",2,total,B1711.03,36,,Number of businesses,1 and 2 and 3 and 6
"Source of info - crown, or other research institutes: don't know",Non-metallic mineral product,2,total,B1711.03,12,,Number of businesses,1 and 2 and 3 and 6
"Source of info - crown, or other research institutes: don't know",Metal product,2,total,B1711.03,33,,Number of businesses,1 and 2 and 3 and 6
"Source of info - crown, or other research institutes: don't know",Transport and industrial machinery & equipment,2,total,B1711.03,18,,Number of businesses,1 and 2 and 3 and 6
"Source of info - crown, or other research institutes: don't know",Other machinery & equipment,2,total,B1711.03,12,,Number of businesses,1 and 2 and 3 and 6
"Source of info - crown, or other research institutes: don't know",Other manufacturing,2,total,B1711.03,12,,Number of businesses,1 and 2 and 3 and 6
"Source of info - crown, or other research institutes: don't know","Electricity, gas, water, & waste services",1,total,B1711.03,15,,Number of businesses,1 and 2 and 3 and 5 and 6
"Source of info - crown, or other research institutes: don't know",Construction,1,total,B1711.03,429,,Number of businesses,1 and 2 and 3 and 6
"Source of info - crown, or other research institutes: don't know",Wholesale trade,1,total,B1711.03,198,,Number of businesses,1 and 2 and 3 and 6
"Source of info - crown, or other research institutes: don't know",Machinery & equipment wholesaling,2,total,B1711.03,60,,Number of businesses,1 and 2 and 3 and 6
"Source of info - crown, or other research institutes: don't know",Other wholesale trade,2,total,B1711.03,135,,Number of businesses,1 and 2 and 3 and 6
"Source of info - crown, or other research institutes: don't know",Retail trade,1,total,B1711.03,54,,Number of businesses,1 and 2 and 3 and 6
"Source of info - crown, or other research institutes: don't know",Accommodation & food services,1,total,B1711.03,576,,Number of businesses,1 and 2 and 3 and 6
"Source of info - crown, or other research institutes: don't know","Transport, postal, & warehousing",1,total,B1711.03,45,,Number of businesses,1 and 2 and 3 and 6
"Source of info - crown, or other research institutes: don't know",Information media & telecommunications,1,total,B1711.03,36,,Number of businesses,1 and 2 and 3 and 6
"Source of info - crown, or other research institutes: don't know",Publishing,2,total,B1711.03,15,,Number of businesses,1 and 2 and 3 and 6
"Source of info - crown, or other research institutes: don't know",Motion picture,2,total,B1711.03,9,,Number of businesses,1 and 2 and 3 and 6
"Source of info - crown, or other research institutes: don't know",Telecommunications,2,total,B1711.03,9,,Number of businesses,1 and 2 and 3 and 6
"Source of info - crown, or other research institutes: don't know",Financial & insurance services,1,total,B1711.03,36,,Number of businesses,1 and 2 and 3 and 6
"Source of info - crown, or other research institutes: don't know",Finance,2,total,B1711.03,18,,Number of businesses,1 and 2 and 3 and 6
"Source of info - crown, or other research institutes: don't know",Insurance,2,total,B1711.03,6,,Number of businesses,1 and 2 and 3 and 6
"Source of info - crown, or other research institutes: don't know",Auxiliary,2,total,B1711.03,12,,Number of businesses,1 and 2 and 3 and 6
"Source of info - crown, or other research institutes: don't know","Rental, hiring, & real estate services",1,total,B1711.03,36,,Number of businesses,1 and 2 and 3 and 6
"Source of info - crown, or other research institutes: don't know","Professional, scientific, & technical services",1,total,B1711.03,147,,Number of businesses,1 and 2 and 3 and 6
"Source of info - crown, or other research institutes: don't know",Computer systems design,2,total,B1711.03,69,,Number of businesses,1 and 2 and 3 and 6
"Source of info - crown, or other research institutes: don't know",Other professional scientific,2,total,B1711.03,81,,Number of businesses,1 and 2 and 3 and 6
"Source of info - crown, or other research institutes: don't know",Administrative & support services,1,total,B1711.03,102,,Number of businesses,1 and 2 and 3 and 6
"Source of info - crown, or other research institutes: don't know",Education & training,1,total,B1711.03,69,,Number of businesses,1 and 2 and 3 and 6
"Source of info - crown, or other research institutes: don't know",Health care & social assistance,1,total,B1711.03,180,,Number of businesses,1 and 2 and 3 and 6
"Source of info - crown, or other research institutes: don't know",Arts & recreation services,1,total,B1711.03,6,,Number of businesses,1 and 2 and 3 and 6
"Source of info - crown, or other research institutes: don't know",Other services,1,total,B1711.03,39,,Number of businesses,1 and 2 and 3 and 6
"Source of info - crown, or other research institutes: don't know",total,0,total,B1711.03,2358,,Number of businesses,1 and 2 and 3 and 6
Source of info - government agencies: yes,total,0,6–19 employees,B1712.01,1830,,Number of businesses,1 and 2 and 3 and 4 and 6
Source of info - government agencies: yes,total,0,20–49 employees,B1712.01,630,,Number of businesses,1 and 2 and 3 and 4 and 6
Source of info - government agencies: yes,total,0,50–99 employees,B1712.01,222,,Number of businesses,1 and 2 and 3 and 4 and 6
Source of info - government agencies: yes,total,0,100+ employees,B1712.01,222,,Number of businesses,1 and 2 and 3 and 4 and 6
Source of info - government agencies: yes,"Agriculture, forestry, & fishing",1,total,B1712.01,204,,Number of businesses,1 and 2 and 3 and 6
Source of info - government agencies: yes,Agriculture,2,total,B1712.01,138,,Number of businesses,1 and 2 and 3 and 6
Source of info - government agencies: yes,Commercial fishing,2,total,B1712.01,0,,Number of businesses,1 and 2 and 3 and 6
Source of info - government agencies: yes,Forestry & logging,2,total,B1712.01,21,,Number of businesses,1 and 2 and 3 and 6
Source of info - government agencies: yes,"Agriculture, forestry, & fishing support services",2,total,B1712.01,45,,Number of businesses,1 and 2 and 3 and 6
Source of info - government agencies: yes,Mining,1,total,B1712.01,3,,Number of businesses,1 and 2 and 3 and 5 and 6
Source of info - government agencies: yes,Manufacturing,1,total,B1712.01,315,,Number of businesses,1 and 2 and 3 and 6
Source of info - government agencies: yes,"Food, beverage, & tobacco",2,total,B1712.01,90,,Number of businesses,1 and 2 and 3 and 6
Source of info - government agencies: yes,"Textile, clothing, footwear, & leather",2,total,B1712.01,9,,Number of businesses,1 and 2 and 3 and 6
Source of info - government agencies: yes,Wood & paper product,2,total,B1712.01,27,,Number of businesses,1 and 2 and 3 and 6
Source of info - government agencies: yes,"Printing, publishing, & recorded media",2,total,B1712.01,3,,Number of businesses,1 and 2 and 3 and 6
